,show_id,show_title,brand,union_id,xmin,ymin,xmax,ymax,gender,season,style,category,collar,sleeve,sleeve_type,fabric,contour,clothes_length,technology,texture,accessories,path,done,ori_w,ori_h,ratio,aesthetic,cv_var,cv_lightness,cv_saturation,caption-base,caption-large,face_count,face_loc,face_col,weight,view,look_at_viewer,color_3,color_2,color_1,prompt_image,prompt_clothes,tgt_w,tgt_h
517731,bc45144decc2ec0422f2295e28a89630,2019春夏伦敦J.W. Anderson J.W.安德森成衣,J.W. Anderson J.W.安德森,33_fbdbf937009f3df5770b7e7a48e2431d,0.1648,0.2539,0.9326,0.9888,女装,春夏,街潮,衬衫,翻领,超长袖,拼接袖,化纤,常规型,,拼接#印花,条纹/波纹#撞色/渐变,,imgs/show_768/bf2de291d6106e2970adb5fca8069f21_fe8146433885617fa05e7f9f98fb926f.png,True,1365.0,2048.0,0.67,5.268239974975586,922.1352842364278,92.68845847800924,40.96071257414641,a model walks the runway at the marc marc by marc marc marc marc marc marc marc marc marc,arafed image of a woman walking down a runway wearing a green shirt and black pants,1.0,"(121, 475, 258, 339)",0.0,1.0,2.0,False,松香色,暗影灰,黑白灰,"a mid-length body view photo , a model walks the runway at the marc by marc , White Race","Women's Clothes for Spring and Summer , Street Tide Style Achromatic Color Shirt , Lapel Collar , Super Long Sleeve in Patchwork Sleeves Type, Chemical Fabric , Conventional Contour , Splicing & Printing Making Technology , Stripe / Ripple & Bump / Gradient Texture",768,1152
520296,6fc611d7bc562ff956065aa32272191e,2018春夏佛罗伦萨She.Ver童装,She.Ver,10_de729437156259363c9771608fb68229,0.2162,0.2924,0.7564,0.9579,女童,春夏,宫廷,连衣裙,,,无袖,化纤,A型,短款,抽褶#拼接#印花,卡通次元,基础绳带,imgs/show_768/e22493fe84887e628eed09d0eefbce09_ecaa19706dc9b711c73c370a8dd069b8.png,True,2114.0,3184.0,0.66,5.381814956665039,1541.7649307133236,94.56722344292535,51.63515670211227,a little girl in a dress and bow tie,arafed girl in a dress and bow tie walking down a runway,1.0,"(135, 420, 272, 284)",0.0,1.0,2.0,True,晨曦紫#巧克力酱色,水晶粉#咖啡色,粉色#大地色,"a mid-length body view photo , a little girl in a dress and bow tie , White Race , Look_at_viewer","Girl's Clothes for Spring and Summer , Court Style Pink & Earth Tone Color Dress , S Size , Chemical Fabric , A-Line Contour , Shir & Splicing & Printing Making Technology , Cartoon Dimension Texture , Basic Rope Accessories",768,1152
523608,5b3addc7862677cef219c4e40a6a515c,22/23秋冬迪拜Madaen成衣,Madaen,33_75fc37837913a327f50033c4acc8c8be,0.2579,0.2208,0.7648,0.9304,女装,春夏,精致/奢华,礼服,一字领,中袖,,真丝 / 丝绸,T型,超长款,抽褶,纯色,,imgs/show_768/f55d827e3456c67f5690c681603e98b8_84b9ae864cb4fdb0d83fa52aace5bff8.png,True,1667.0,2500.0,0.67,5.474213600158691,312.3474616077006,107.4163660120081,164.71248033311633,a woman in a green dress walking down the runway,arafed woman in a green dress walking down a runway,1.0,"(68, 419, 147, 340)",0.0,1.0,3.0,False,暗松绿#水鸭蓝,深青#天青石色,绿色,"a full body view photo , a woman in a green dress walking down the runway , White Race","Women's Clothes for Spring and Summer , Refined / Luxurious Style Green Color Dresses , XL Size , Straight Collar , Silk Fabric , T-Line Contour , Shir Making Technology , Solid Color Texture",768,1152
524246,acc51c60ca5031ff2b8a14fceb939ed1,2019春游米兰CO|TE成衣,CO|TE,33_098e0e945b4de43c02cc24ffa1eff12b,0.311,0.3227,0.487,0.5907,女装,春夏,浪漫/淑女,T恤,V领,短袖,基础袖,针织面料,H型,长款,无工艺,纯色,,imgs/show_768/688dd323da17c63a1f252e4e531cbc0c_1965dfdaa3320d99ab29f25eced5440d.png,True,1000.0,1500.0,0.67,5.299487113952637,1767.2816801997326,106.23857060185183,28.419788501880788,a woman in a white shirt and blue skirt,there is a woman standing on the steps of a building with a bag,1.0,"(268, 395, 347, 316)",2.0,1.0,3.0,False,纪念碑灰#高楼色,灰白色#冰河灰,黑白灰,"a full body view photo , a woman in a white shirt and blue skirt","Women's Clothes for Spring and Summer , Romance / Lady Style Achromatic Color T-Shirt , L Size , V-Neck Collar , Short Sleeve in Basic Sleeves Type, Knit Fabrics Fabric , H-Line Contour , No process Making Technology , Solid Color Texture",768,1152
524247,acc51c60ca5031ff2b8a14fceb939ed1,2019春游米兰CO|TE成衣,CO|TE,33_098e0e945b4de43c02cc24ffa1eff12b,0.436,0.3087,0.706,0.6573,女装,春夏,浪漫/淑女,针织上衣,立领,中长袖,无袖,毛纺,H型,长款,无工艺,纯色,,imgs/show_768/688dd323da17c63a1f252e4e531cbc0c_1965dfdaa3320d99ab29f25eced5440d.png,True,1000.0,1500.0,0.67,5.299487113952637,1767.2816801997326,106.23857060185183,28.419788501880788,a woman in a white shirt and blue skirt,there is a woman standing on the steps of a building with a bag,1.0,"(268, 395, 347, 316)",2.0,1.0,3.0,False,酱黑色,深黑,黑白灰,"a full body view photo , a woman in a white shirt and blue skirt","Women's Clothes for Spring and Summer , Romance / Lady Style Achromatic Color Knit Top , L Size , Stand Collar , Medium Long Sleeve in Sleeveless Type, Woolen Fabric , H-Line Contour , No process Making Technology , Solid Color Texture",768,1152
524248,acc51c60ca5031ff2b8a14fceb939ed1,2019春游米兰CO|TE成衣,CO|TE,33_098e0e945b4de43c02cc24ffa1eff12b,0.383,0.5693,0.603,0.7773,女装,春夏,浪漫/淑女,针织裙,圆形领,中长袖,,毛纺,A型,长款,细针,纯色,,imgs/show_768/688dd323da17c63a1f252e4e531cbc0c_1965dfdaa3320d99ab29f25eced5440d.png,True,1000.0,1500.0,0.67,5.299487113952637,1767.2816801997326,106.23857060185183,28.419788501880788,a woman in a white shirt and blue skirt,there is a woman standing on the steps of a building with a bag,1.0,"(268, 395, 347, 316)",2.0,1.0,3.0,False,蓝黑色,幽蓝,蓝色,"a full body view photo , a woman in a white shirt and blue skirt","Women's Clothes for Spring and Summer , Romance / Lady Style Blue Color Knit Skirt , L Size , Round Neck Collar , Woolen Fabric , A-Line Contour , Fine Gauge Making Technology , Solid Color Texture",768,1152
526231,f40d9940b545558c531bb8210968496c,23/24秋冬东京Queen&Jack成衣,Queen&Jack,33_8a58846886b2cb02ec077168ad37907f,0.1876,0.1458,0.8345,0.7977,女装,秋冬,都市,披肩 / 斗篷,,,,化纤,宽松型,长款,打结-扭结#拼接#边缘装饰,格纹/菱格#撞色/渐变,,imgs/show_768/5cbc9d683dea5c5ee4af7d4808e0edb5_d1903f8316afc2bff44a925ba57c705b.png,True,2574.0,3861.0,0.67,5.46737003326416,717.8718130048086,116.83932269061052,19.71955928096065,a model walks down the runway at the bu & co show,arafed image of a woman walking down a runway wearing a coat,1.0,"(92, 403, 171, 324)",0.0,1.0,3.0,True,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a model walks down the runway at the bu & co show , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Urban Style Achromatic Color Shawl , L Size , Chemical Fabric , Loose Contour , Knot Kink & Splicing & Edge Decoration Making Technology , Grid / Rhombie & Bump / Gradient Texture",768,1152
533657,e604066ac07dda4b4921276debae2259,2018春夏东京1 Piu 1 Uguale 3成衣,1 Piu 1 Uguale 3,33_039dfd4af0abb621102a288d9046cd9c,0.2768,0.4257,0.6141,0.9029,男装,春夏,都市,中长裤,,,基础袖,正装面料,H型,长款,无工艺,格纹/菱格,基础扣饰,imgs/show_768/567d8146202bfa6738ddfe3935f20e22_ebe773cb12a9709c162b951b86213fcb.png,True,495.0,700.0,0.71,5.782430648803711,57.95672041895086,216.13999769422745,20.91203251591435,a man in a suit and tie standing on a white background,a man in a suit and tie standing with his hands in his pockets,1.0,"(79, 416, 174, 321)",2.0,1.0,3.0,False,烟熏橄榄色#夜雾色,烟熏橄榄#灰白色,大地色#黑白灰,"a full body view photo , a man in a suit and tie standing on a white background","Man's Clothes for Spring and Summer , Urban Style Earth Tone & Achromatic Color Middle Trousers , L Size , Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Grid / Rhombie Texture , Basic Buckle Accessories",768,1152
533658,e604066ac07dda4b4921276debae2259,2018春夏东京1 Piu 1 Uguale 3成衣,1 Piu 1 Uguale 3,33_039dfd4af0abb621102a288d9046cd9c,0.2747,0.1271,0.7475,0.51,男装,春夏,都市,西服,翻驳领,中长袖,基础袖,正装面料,H型,中款,无工艺,纯色,基础扣饰,imgs/show_768/567d8146202bfa6738ddfe3935f20e22_ebe773cb12a9709c162b951b86213fcb.png,True,495.0,700.0,0.71,5.782430648803711,57.95672041895086,216.13999769422745,20.91203251591435,a man in a suit and tie standing on a white background,a man in a suit and tie standing with his hands in his pockets,1.0,"(79, 416, 174, 321)",2.0,1.0,3.0,False,松香色,暗影灰,黑白灰,"a full body view photo , a man in a suit and tie standing on a white background","Man's Clothes for Spring and Summer , Urban Style Achromatic Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
534606,45d64ca652e2626a40bee3fd24c9c1ff,21/22秋冬米兰Z Zegna 杰尼亚副线成衣,Z Zegna 杰尼亚副线,33_549f4d1dedebb79ab9910012594d6812,0.1881,0.1662,0.8647,0.9986,男装,秋冬,都市,大衣 / 风衣,翻领,超长袖,基础袖,呢绒,X型,长款,打结-扭结,纯色,本布腰带,imgs/show_768/ae4345b0b0ded0e42d49325b3ff3c8b2_d1637474019f38fbb3c2d24c41981b5a.png,True,3333.0,5000.0,0.67,5.791506767272949,59.12842571606478,85.63772583007812,35.765838623046875,a man in a brown coat and hat standing in front of a wall,arafed man in a brown coat and hat standing in a room,1.0,"(80, 448, 216, 311)",0.0,1.0,2.0,False,巧克力酱色,咖啡色,大地色,"a mid-length body view photo , a man in a brown coat and hat standing in front of a wall , White Race","Man's Clothes for Autumn and Winter , Urban Style Earth Tone Color Overcoat , L Size , Lapel Collar , Super Long Sleeve in Basic Sleeves Type, Wool Fabric , X-Line Contour , Knot Kink Making Technology , Solid Color Texture , Belt Of This Cloth Accessories",768,1152
535824,a1611324d2d94556fc54385cb13b1a2d,2019初秋纽约Tadashi Shoji 庄司正成衣,Tadashi Shoji 庄司正,33_a737cfbe4f4632b8c67530322fb73f16,0.2668,0.1845,0.7884,0.9273,女装,春夏,浪漫/淑女,礼服,一字领,中长袖,,雪纺,X型,超长款,印花,植物/花卉#碎花,,imgs/show_768/ec2c6ef756c3a4c3cb412392ab7c8858_17f3a786b54a34af2164240e30d528eb.png,True,2732.0,4098.0,0.67,5.480097770690918,930.3586265683284,117.79257428204572,38.08818562825521,a woman in a black and purple floral print dress,a woman in a long dress standing in front of a painting,1.0,"(108, 403, 187, 324)",2.0,1.0,3.0,False,蓝黑色,幽蓝,蓝色,"a full body view photo , a woman in a black and purple floral print dress","Women's Clothes for Spring and Summer , Romance / Lady Style Blue Color Dresses , XL Size , Straight Collar , Chiffon Fabric , X-Line Contour , Printing Making Technology , Plants / Flowers & Flower Print Texture",768,1152
536131,1d4e2e161d62e11722e6bc12aa83bb34,2020春夏巴黎Angus Chiang成衣,Angus Chiang,33_4d4f46faa3b137066d0e83c27ed001a5,0.2448,0.2784,0.758,0.8555,女装,春夏,民族风,针织上衣,圆形领,无袖,无袖,毛纺,,短款,毛边,格纹/菱格#撞色/渐变,,imgs/show_768/3e00c9308ecc540bb0df5d180ffb90c7_372c9b728e5236668969d6f4c7058358.png,True,2574.0,3861.0,0.67,4.952655792236328,1329.6082012647714,144.15702085141783,78.6248146339699,a model walks the runway at the louis & joe show,arafed woman walking down a runway with a suitcase and a suitcase,1.0,"(149, 462, 285, 325)",3.0,1.0,2.0,False,蓝黑色,幽蓝,蓝色,"a mid-length body view photo , a model walks the runway at the louis & joe show , Black Race","Women's Clothes for Spring and Summer , Ethnic Style Blue Color Knit Top , S Size , Round Neck Collar , Sleeveless , Woolen Fabric , Burr Making Technology , Grid / Rhombie & Bump / Gradient Texture",768,1152
536298,614cf3cc1f96ae7265a842535b66449c,19/20秋冬巴黎Angus Chiang成衣,Angus Chiang,33_51745cee4882870a53a7363ddea4c26b,0.3399,0.4595,0.6059,0.873,女装,春夏,日常休闲,中长裤,,,基础袖,化纤,H型,长款,无工艺,纯色,,imgs/show_768/ca912f4d9ed3be76a6c4e7d5e697a490_4c4ec4db71501d35f4770d5317cb18bc.png,True,1365.0,2048.0,0.67,5.736658573150635,435.2044323094085,107.8355204264323,91.98107571072048,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed woman in orange jumpsuit walking down runway with crowd,3.0,"(108, 416, 203, 321)",-1.0,1.0,-1.0,-1,亮橙色#海鹦喙色#琥珀光橘,甜瓜肉色#珊瑚橘#雅法橙,橙色,a model walks the runway at the maison,"Women's Clothes for Spring and Summer , Daily Leisure Style Orange Color Middle Trousers , L Size , Chemical Fabric , H-Line Contour , No process Making Technology , Solid Color Texture",768,1152
536299,614cf3cc1f96ae7265a842535b66449c,19/20秋冬巴黎Angus Chiang成衣,Angus Chiang,33_51745cee4882870a53a7363ddea4c26b,0.2278,0.1641,0.6821,0.5166,女装,春夏,日常休闲,牛仔外套,翻领,中长袖,基础袖,牛仔面料,H型,中款,贴布绣,文字图案#标志图案,基础扣饰#徽章,imgs/show_768/ca912f4d9ed3be76a6c4e7d5e697a490_4c4ec4db71501d35f4770d5317cb18bc.png,True,1365.0,2048.0,0.67,5.736658573150635,435.2044323094085,107.8355204264323,91.98107571072048,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed woman in orange jumpsuit walking down runway with crowd,3.0,"(108, 416, 203, 321)",-1.0,1.0,-1.0,-1,亮橙色#海鹦喙色,甜瓜肉色#珊瑚橘,橙色,a model walks the runway at the maison,"Women's Clothes for Spring and Summer , Daily Leisure Style Orange Color Denim Jacket , M Size , Lapel Collar , Medium Long Sleeve in Basic Sleeves Type, Denim Fabric , H-Line Contour , Appliqué Making Technology , Text Pattern & Logo Texture , Basic Buckle & Badge Accessories",768,1152
538519,ddecd09a625299bfa2e5702052dba24a,2019春夏纽约Monse成衣,Monse,33_55ee6997725cae5a79314bd40f9aec42,0.3641,0.5591,0.6212,0.9355,男装,秋冬,复古,中长裤,,,,化纤,X型,超长款,无工艺,纯色,,imgs/show_768/08b8f4999aec58f09ab382a7dec517c2_353ca08affdf3c257d049b0d4f39bc20.png,True,1365.0,2048.0,0.67,4.95733642578125,1205.1482980599417,85.89348008897569,30.419805456090856,a model walks the runway at the given by given,arafed image of a man walking down a runway wearing a plaid coat,1.0,"(100, 443, 179, 364)",0.0,1.0,3.0,False,蓝黑色,幽蓝,蓝色,"a full body view photo , a model walks the runway at the given by given , White Race","Man's Clothes for Autumn and Winter , Retro Style Blue Color Middle Trousers , XL Size , Chemical Fabric , X-Line Contour , No process Making Technology , Solid Color Texture",768,1152
538520,ddecd09a625299bfa2e5702052dba24a,2019春夏纽约Monse成衣,Monse,33_55ee6997725cae5a79314bd40f9aec42,0.2755,0.1626,0.7597,0.6138,男装,秋冬,复古,大衣 / 风衣,翻领,中长袖,,粗花呢,H型,长款,拼接,格纹/菱格#撞色/渐变,,imgs/show_768/08b8f4999aec58f09ab382a7dec517c2_353ca08affdf3c257d049b0d4f39bc20.png,True,1365.0,2048.0,0.67,4.95733642578125,1205.1482980599417,85.89348008897569,30.419805456090856,a model walks the runway at the given by given,arafed image of a man walking down a runway wearing a plaid coat,1.0,"(100, 443, 179, 364)",0.0,1.0,3.0,False,夜蓝色,蔷薇辉石,紫色,"a full body view photo , a model walks the runway at the given by given , White Race","Man's Clothes for Autumn and Winter , Retro Style Purple Color Overcoat , L Size , Lapel Collar , Tweed Fabric , H-Line Contour , Splicing Making Technology , Grid / Rhombie & Bump / Gradient Texture",768,1152
539459,5778e5789e13f189d03131e3e86830f4,2019初秋纽约Monse成衣,Monse,33_95fe1f016ff23cf22e7c8007491cc5bd,0.2592,0.213,0.6622,0.581,女装,春夏,都市,衬衫,立领,中长袖,,棉麻,不对称,中款,绣花,条纹/波纹,基础扣饰,imgs/show_768/63bfc887462292377f7d6a499ad35adc_4c1ea2644a8e7b1f2096ab5815962932.png,True,2732.0,4098.0,0.67,5.096639156341553,483.34143939706286,103.93291897243924,48.30280332212095,a woman walking a dog down a street with a leash,woman walking a dog on a leash in the street,1.0,"(172, 403, 251, 324)",3.0,1.0,3.0,False,羊绒蓝#远景蓝,柔和蓝#银灰蓝,蓝色,"a full body view photo , a woman walking a dog down a street with a leash , Black Race","Women's Clothes for Spring and Summer , Urban Style Blue Color Shirt , M Size , Stand Collar , Cotton And Linen Fabric , Asymmetric Contour , Embroidered Making Technology , Stripe / Ripple Texture , Basic Buckle Accessories",768,1152
539460,5778e5789e13f189d03131e3e86830f4,2019初秋纽约Monse成衣,Monse,33_95fe1f016ff23cf22e7c8007491cc5bd,0.3638,0.5376,0.5512,0.8309,女装,春夏,都市,中长裤,V领,中长袖,,化纤,A型,长款,绣花,线性图案,,imgs/show_768/63bfc887462292377f7d6a499ad35adc_4c1ea2644a8e7b1f2096ab5815962932.png,True,2732.0,4098.0,0.67,5.096639156341553,483.34143939706286,103.93291897243924,48.30280332212095,a woman walking a dog down a street with a leash,woman walking a dog on a leash in the street,1.0,"(172, 403, 251, 324)",3.0,1.0,3.0,False,夜蓝色,蔷薇辉石,紫色,"a full body view photo , a woman walking a dog down a street with a leash , Black Race","Women's Clothes for Spring and Summer , Urban Style Purple Color Middle Trousers , L Size , V-Neck Collar , Chemical Fabric , A-Line Contour , Embroidered Making Technology , Linear Pattern Texture",768,1152
542804,0ba8bdefc4e66729cddbc1d0cd2b1b3b,2018春夏伊比沙岛Dira Moda Ibiza成衣,Dira Moda Ibiza,33_14cd858b914d48dce15375a8c94edf6f,0.2513,0.2251,0.9824,0.9375,女装,春夏,浪漫/淑女,礼服,一字领,短袖,,雪纺,X型,超长款,边缘装饰,纯色,蕾丝花边,imgs/show_768/3d9f4dfbbece828b8a0b80367aa88853_a6b493e0cb4f2891833cf8c89820b322.png,True,1365.0,2048.0,0.67,5.704604625701904,554.033962500602,175.74168226453992,107.92889743381076,a woman in a white dress walking down a runway,araffe wearing a white dress and gold shoes walking down a runway,1.0,"(92, 379, 171, 300)",0.0,1.0,3.0,False,城堡灰#鸽羽色,月光灰#苜蓿,黑白灰,"a full body view photo , a woman in a white dress walking down a runway , White Race","Women's Clothes for Spring and Summer , Romance / Lady Style Achromatic Color Dresses , XL Size , Straight Collar , Chiffon Fabric , X-Line Contour , Edge Decoration Making Technology , Solid Color Texture , Lace Ruffles Accessories",768,1152
549318,e25e0b0b06ae2e2d1b1e1ba7ba05b37f,19/20秋冬纽约Joseph Abboud成衣,Joseph Abboud,33_3987c8553216800deecb79830ed5a676,0.2698,0.141,0.7742,0.529,男装,秋冬,都市#复古,西服,翻驳领,中长袖,基础袖,,常规型,中款,拼接,撞色/渐变,基础扣饰,imgs/show_768/587ddbf6ec2108965e9eb1a7fb5529d0_d486e20baa058f191c6b3f1fc741c795.png,True,2732.0,4098.0,0.67,5.849228858947754,691.1316004461085,101.05300903320312,26.837198893229168,a man in a suit and hat walks down the runway,arafed image of a man in a suit and hat walking down a runway,1.0,"(76, 419, 155, 340)",2.0,1.0,3.0,False,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a man in a suit and hat walks down the runway","Man's Clothes for Autumn and Winter , Urban & Retro Style Achromatic Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Conventional Contour , Splicing Making Technology , Bump / Gradient Texture , Basic Buckle Accessories",768,1152
549319,e25e0b0b06ae2e2d1b1e1ba7ba05b37f,19/20秋冬纽约Joseph Abboud成衣,Joseph Abboud,33_3987c8553216800deecb79830ed5a676,0.381,0.4007,0.6896,0.9148,男装,秋冬,都市#复古,中长裤,,,基础袖,棉麻,A型,长款,无工艺,条纹/波纹,,imgs/show_768/587ddbf6ec2108965e9eb1a7fb5529d0_d486e20baa058f191c6b3f1fc741c795.png,True,2732.0,4098.0,0.67,5.849228858947754,691.1316004461085,101.05300903320312,26.837198893229168,a man in a suit and hat walks down the runway,arafed image of a man in a suit and hat walking down a runway,1.0,"(76, 419, 155, 340)",2.0,1.0,3.0,False,踢踏舞鞋色#银丝色#素净色#沥青色,深黑#霜灰#青铜#墨黑,黑白灰,"a full body view photo , a man in a suit and hat walks down the runway","Man's Clothes for Autumn and Winter , Urban & Retro Style Achromatic Color Middle Trousers , L Size , Cotton And Linen Fabric , A-Line Contour , No process Making Technology , Stripe / Ripple Texture",768,1152
551195,8b2be217bb399cf634c17708cff0841c,2021春夏纽约Ulla Johnson成衣,Ulla Johnson,33_da4235193ee7dd932754326ff039f504,0.3198,0.1786,0.7099,0.8084,女装,春夏,浪漫/淑女,连衣裙,荷叶领,无袖,,雪纺,X型,长款,层叠#荷叶边#印花,碎花,,imgs/show_768/e2c5999431ec06d956dfe973641f4bd1_62ea9424734a53dd5fbdaf6ec76b0273.png,True,3333.0,5000.0,0.67,5.329258918762207,1126.2547901167095,145.40149830005788,49.90420419198495,a woman walking down a runway with a city in the background,araffe woman walking down a colorful walkway with a dog on a leash,1.0,"(124, 443, 203, 364)",3.0,1.0,3.0,False,深青色#石蓝色#织锦蓝,深青#灰雾蓝#墨水蓝,绿色#蓝色,"a full body view photo , a woman walking down a runway with a city in the background , Black Race","Women's Clothes for Spring and Summer , Romance / Lady Style Green & Blue Color Dress , L Size , Lotus Leaf Collar , Chiffon Fabric , X-Line Contour , Cascading & Flounced & Printing Making Technology , Flower Print Texture",768,1152
551196,8b2be217bb399cf634c17708cff0841c,2021春夏纽约Ulla Johnson成衣,Ulla Johnson,33_da4235193ee7dd932754326ff039f504,0.3357,0.1744,0.7012,0.4162,女装,春夏,浪漫/淑女,衬衫,荷叶领,短袖,层叠袖,雪纺,不对称,无法确定,层叠#荷叶边#印花,波点,,imgs/show_768/e2c5999431ec06d956dfe973641f4bd1_62ea9424734a53dd5fbdaf6ec76b0273.png,True,3333.0,5000.0,0.67,5.329258918762207,1126.2547901167095,145.40149830005788,49.90420419198495,a woman walking down a runway with a city in the background,araffe woman walking down a colorful walkway with a dog on a leash,1.0,"(124, 443, 203, 364)",3.0,1.0,3.0,False,深青色#织锦蓝,深青#墨水蓝,绿色#蓝色,"a full body view photo , a woman walking down a runway with a city in the background , Black Race","Women's Clothes for Spring and Summer , Romance / Lady Style Green & Blue Color Shirt , Lotus Leaf Collar , Short Sleeve in Layered Sleeves Type, Chiffon Fabric , Asymmetric Contour , Cascading & Flounced & Printing Making Technology , Polka Dot Texture",768,1152
551295,manual_1255FB7BE14DEEB59BB3D22F960BD8CF_1676244499,23/24秋冬纽约Ulla Johnson,Ulla Johnson,121_54D0C5C13255F28C08BF2F56DCD661C9,0.2347,0.1544,0.7304,0.8065,女装,秋冬,都市,大衣 / 风衣,翻驳领,中长袖,,呢绒,A型,长款,印花,动物纹,基础扣饰,imgs/show_768/18647f4e8ef_206.png,True,2574.0,3861.0,0.67,5.643655776977539,811.9416178943197,138.80903229890046,66.5361565483941,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,araffe woman walking down a runway in a long coat,1.0,"(92, 427, 171, 348)",2.0,1.0,3.0,True,暗土褐色,松球色,大地色,"a full body view photo , a model walks the runway at the maison , Look_at_viewer","Women's Clothes for Autumn and Winter , Urban Style Earth Tone Color Overcoat , L Size , Revers Collar , Wool Fabric , A-Line Contour , Printing Making Technology , Animal Skin Print Texture , Basic Buckle Accessories",768,1152
553997,961414d17bf938f8b99ef5ddc40fc8b3,2018春夏纽约Ulla Johnson成衣,Ulla Johnson,33_4c3e93097196f536e9a1a6adbb1c24bb,0.1349,0.2497,0.8206,0.9959,女装,秋冬,都市,连衣裙,圆形领,中长袖,羊腿袖,棉麻,T型,无法确定,打结-扭结#抽褶,纯色,本布腰带,imgs/show_768/784143b21f8e9db87827e76e986d0299_24c898fb07e004f5c8697c6742eb1214.png,True,2564.0,3861.0,0.66,5.481345653533936,150.59679380365338,152.02116676613136,28.50688793041088,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a woman in a green dress walking down a runway,1.0,"(121, 462, 258, 325)",0.0,1.0,2.0,False,黑森林色#暗海湾绿色,深墨绿色#暗海湾绿,绿色,"a mid-length body view photo , a model walks the runway at the maison , White Race","Women's Clothes for Autumn and Winter , Urban Style Green Color Dress , Round Neck Collar , Medium Long Sleeve in Mutton-Leg Sleeves Type, Cotton And Linen Fabric , T-Line Contour , Knot Kink & Shir Making Technology , Solid Color Texture , Belt Of This Cloth Accessories",768,1152
555413,ab2b4e0e1f6c0d65b05ea17a4ef0b3c5,2022春夏纽约Ulla Johnson成衣,Ulla Johnson,33_f463e4652ebe7e1bdae9320b8660a767,0.2176,0.26,0.8248,0.9948,女装,春夏,宫廷,连衣裙,V领,中袖,,雪纺,X型,中款,印花#边缘装饰,传统图案,,imgs/show_768/b2b6d32cc868725bdc94b709c86ba841_a710996eef6563443e997d57c8be85ce.png,True,2574.0,3861.0,0.67,5.586208820343018,1861.996316548401,69.37272700557003,35.46068657769097,a woman in a black dress and gold accessories,arafed woman in a black dress with a gold belt,1.0,"(138, 442, 252, 328)",0.0,1.0,2.0,True,酱黑色,深黑,黑白灰,"a mid-length body view photo , a woman in a black dress and gold accessories , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Court Style Achromatic Color Dress , M Size , V-Neck Collar , Chiffon Fabric , X-Line Contour , Printing & Edge Decoration Making Technology , Traditional Pattern Texture",768,1152
556984,dd86033593236c1c57f26f25da0cf35e,22/23秋冬纽约Ulla Johnson成衣,Ulla Johnson,33_43822aa2de21de592a3a65cc989a1707,0.2414,0.7179,0.3484,0.9029,女装,秋冬,复古,针织套衫,圆形领,超长袖,基础袖,毛纺,常规型,无法确定,细针#提花-绞花,动物纹,,imgs/show_768/5a0810e88c2936a8b60b574569116451_b4bc6694dd588fcefced440e08e409fc.png,True,3861.0,2574.0,1.5,4.989267826080322,396.5389815102254,148.37157185872397,55.37414211697049,a woman in a dress and a man in a suit on a staircase,there are two women walking up the stairs of a building,0.0,,-1.0,1.0,-1.0,-1,踢踏舞鞋色,深黑,黑白灰,a woman in a dress and a man in a suit on a staircase,"Women's Clothes for Autumn and Winter , Retro Style Achromatic Color Knit Pullover , Round Neck Collar , Super Long Sleeve in Basic Sleeves Type, Woolen Fabric , Conventional Contour , Fine Gauge & Jacquard - Twisted Flower Making Technology , Animal Skin Print Texture",768,1152
556985,dd86033593236c1c57f26f25da0cf35e,22/23秋冬纽约Ulla Johnson成衣,Ulla Johnson,33_43822aa2de21de592a3a65cc989a1707,0.4797,0.4876,0.6066,0.7626,女童,春夏,复古,套衫,连帽领,中长袖,,,常规型,短款,印花,宫廷花纹,流苏,imgs/show_768/5a0810e88c2936a8b60b574569116451_b4bc6694dd588fcefced440e08e409fc.png,True,3861.0,2574.0,1.5,4.989267826080322,396.5389815102254,148.37157185872397,55.37414211697049,a woman in a dress and a man in a suit on a staircase,there are two women walking up the stairs of a building,0.0,,-1.0,1.0,-1.0,-1,白兰地布朗#烧砖啡,砖红#肉桂色,红色,a woman in a dress and a man in a suit on a staircase,"Girl's Clothes for Spring and Summer , Retro Style Red Color Pullover , S Size , Hoodie Collar , Conventional Contour , Printing Making Technology , Palace Pattern Texture , Tassel Accessories",768,1152
